calib,calib check,Difference
366.3464669,444.3867917,-78.04032478
359.9339334,366.5821397,-6.648206277
393.5888893,445.9400474,-52.35115804
392.816187,387.5986703,5.217516674
395.5019775,361.8215074,33.68047009
393.5517314,356.0556114,37.49612007
393.6750771,367.8204148,25.85466231
396.2438056,361.8222794,34.42152615
391.3167585,470.6612562,-79.34449774
391.2561409,443.138061,-51.88192009
391.0796554,408.6573088,-17.5776534
391.4203372,377.6233424,13.7969948
395.6361774,367.3440265,28.29215091
392.803222,366.9034897,25.89973231
400.1395507,406.9259865,-6.786435801
398.7483611,384.7269598,14.02140128
387.6868742,384.6381233,3.048750838
384.5278188,390.8369548,-6.309135971
393.8105849,410.2166576,-16.40607272
390.7934023,398.9321866,-8.138784343
389.777696,401.166493,-11.38879698
390.8850321,427.157707,-36.27267487
389.8385672,454.3614802,-64.52291303
390.1885687,375.0283932,15.16017545
388.3833768,389.5290954,-1.145718605
388.1288693,465.9137294,-77.78486007
389.6590514,378.3992084,11.25984301
387.2670049,378.8673472,8.399657753
388.8006227,397.8331175,-9.0324948
385.5706872,377.6839133,7.886773976
390.4643051,401.681991,-11.21768588
390.60765,378.4574408,12.15020923
391.2222332,426.3195378,-35.09730463
389.8457587,394.7620784,-4.916319711
397.6568244,469.20732,-71.55049555
399.7106402,389.8617244,9.848915802
396.4539489,436.9330183,-40.47906939
402.9701024,395.2955274,7.67457492
398.3389764,434.8736102,-36.53463385
398.5141383,395.4736786,3.040459695
393.2204283,395.4650571,-2.244628766
393.8848023,397.6184377,-3.73363539
392.9848084,397.3458015,-4.360993079
393.8355139,398.6499774,-4.814463544
394.5279355,453.556944,-59.02900856
394.644868,402.6161586,-7.97129052
397.2677836,430.4270935,-33.15930986
401.2717302,478.7774242,-77.50569404
382.4480292,387.1156783,-4.667649072
382.3888781,458.907377,-76.51849897
390.514574,386.8389451,3.675628995
387.0995535,467.7222324,-80.62267892
386.4253399,410.6010346,-24.17569469
387.6200342,406.5763048,-18.95627058
387.3010751,401.0290835,-13.72800843
393.2160075,395.8365291,-2.620521579
388.8592202,406.9902834,-18.13106319
386.5429636,429.7948746,-43.25191102
386.9320027,407.6690228,-20.73702008
385.8108847,405.6671094,-19.85622467
380.176442,388.5577658,-8.381323848
385.4581202,393.6899088,-8.231788627
386.7332507,419.3887863,-32.65553566
386.3377846,431.8420658,-45.50428121
372.7641719,382.4339701,-9.669798203
372.1653064,383.7779644,-11.61265793
379.8297357,449.7501917,-69.920456
380.5883192,471.3284588,-90.74013953
381.4120429,398.7096445,-17.29760165
381.4994022,388.5124123,-7.01301012
382.7208105,391.0861042,-8.365293675
383.7029429,388.3014465,-4.598503633
380.5249226,0,380.5249226
379.3795872,429.4555793,-50.07599213
376.7711945,389.1411517,-12.36995727
376.501173,393.0791187,-16.57794566
377.3710507,414.734989,-37.36393828
376.5005418,395.0723618,-18.57182005
378.3484741,495.8396451,-117.491171
380.7274529,401.6962029,-20.96874995
366.1157293,340.3101529,25.80557633
364.384932,341.5071279,22.87780414
372.1311538,361.4785152,10.65263857
367.5618085,420.8761253,-53.31431682
372.3083673,406.2294509,-33.9210836
373.3006066,407.7809612,-34.48035462
368.6343685,404.4172486,-35.78288002
374.2371038,398.3462909,-24.1091871
368.9956165,390.8762322,-21.88061568
367.7260655,404.7051108,-36.97904531
369.683498,369.3986136,0.284884354
367.7760278,404.4064251,-36.63039725
368.9456729,457.2142856,-88.26861267
369.7968392,427.5739257,-57.77708657
374.8286681,417.8175448,-42.98887671
374.379288,422.7746935,-48.39540552
