position,length
00,47.50730069
02,47.19940311
04,46.88436128
06,46.56202669
08,46.23224307
10,45.89486185
12,45.54969545
14,45.19657972
16,44.83531926
18,44.46571083
20,44.08755121
22,43.70061374
24,43.30465606
26,42.89944374
28,42.48468751
30,42.06012165
32,41.62544133
34,41.18031823
36,40.72440843
38,40.25734457
40,39.77874362
42,39.28814961
44,38.78515619
46,38.26921260
48,37.73983953
50,37.19641732
52,36.63834608
54,36.06488189
56,35.47539973
58,34.86893701
60,34.24470043
62,33.60161417
64,32.93861934
66,32.25440945
68,31.54769856
70,30.81681102
72,30.06010397
74,29.27543307
76,28.46053882
78,27.61267717
80,26.72874286
82,25.80492126
84,24.83682701
86,23.81889764
88,22.74445844
90,21.60492126
92,20.85831895
94,20.09905512
